Country Name,num,res
Finland,636,0.00011478037335023516
Norway,338,6.249630199396485e-05
Sweden,568,5.453247951599736e-05
Estonia,50,3.756765935449745e-05
Georgia,82,2.2110709942539117e-05
Hungary,212,2.1833406780776427e-05
Iceland,8,2.147535702781059e-05
Poland,728,1.9286237542229706e-05
Croatia,74,1.8979225442421132e-05
Lithuania,52,1.8565865442462062e-05
Australia,438,1.705071056500566e-05
Netherlands,290,1.65401968990667e-05
United Kingdom,984,1.4615329647943296e-05
Israel,136,1.4523707817172148e-05
Uruguay,46,1.3425717838109192e-05
Montenegro,8,1.2919667124776531e-05
Latvia,22,1.1674246082494468e-05
Greece,116,1.0901004687338042e-05
Canada,368,9.621894076124034e-06
Ireland,48,9.53674278510639e-06
Iraq,412,9.463956018148009e-06
Portugal,96,9.297688449375103e-06
Denmark,54,9.220157381256752e-06
Germany,760,9.13504600541386e-06
Singapore,48,8.80158047046648e-06
Jordan,98,8.790595282966572e-06
Hong Kong,58,7.823987265786243e-06
Macedonia,16,7.747838837204347e-06
New Zealand,38,7.4181079920352945e-06
Albania,20,7.113220418072417e-06
France,470,6.937307054302524e-06
United States,2224,6.700939784207141e-06
Paraguay,44,6.563442609183241e-06
Austria,56,6.2529331560329024e-06
Luxembourg,4,6.249375062493751e-06
Italy,314,5.312159763780097e-06
Serbia,36,5.267527478203411e-06
Romania,80,4.184126678619322e-06
Russian Federation,596,4.154778435077049e-06
Argentina,174,3.798401209271234e-06
Bulgaria,26,3.7803099068982367e-06
Qatar,10,3.719912879640359e-06
Armenia,10,3.582978558739709e-06
Mexico,434,3.425275461205054e-06
Japan,414,3.2940384515972836e-06
Moldova,8,3.0590406313248053e-06
Switzerland,26,2.987336565401702e-06
Turkey,242,2.854601554007339e-06
Philippines,322,2.827529615123694e-06
Spain,130,2.741705024174457e-06
Czech Republic,28,2.665201567290819e-06
Bosnia and Herzegovina,8,2.4457778689509416e-06
Kyrgyzstan,16,2.3909859828446755e-06
Belgium,24,2.070223356397922e-06
Costa Rica,10,1.940256777462443e-06
Brazil,364,1.698345610280269e-06
Somalia,28,1.6407293721790075e-06
Cyprus,2,1.6074741116294322e-06
Saudi Arabia,48,1.3351730534484238e-06
Malaysia,44,1.3105428345862024e-06
Algeria,52,1.1770572793873798e-06
United Arab Emirates,10,1.0677891265965449e-06
Chile,20,1.025999651980918e-06
Slovenia,2,9.487310485043492e-07
Kuwait,4,9.411512255906548e-07
Kazakhstan,14,7.368037914660017e-07
Slovakia,4,7.3431588470286e-07
Ukraine,32,7.307128069179322e-07
Thailand,52,7.262457954034591e-07
Indonesia,198,7.232792402408928e-07
Mongolia,2,5.974104646001442e-07
Nepal,16,5.327120312912383e-07
Peru,16,4.7455958719959746e-07
Panama,2,4.5963623928386834e-07
Belarus,4,4.282511273175613e-07
Vietnam,38,3.898714315850175e-07
South Korea,16,3.092093601693045e-07
Pakistan,68,2.938607514986563e-07
Uzbekistan,10,2.864090321952393e-07
Cambodia,4,2.411233018364011e-07
India,278,1.975043630028115e-07
Sri Lanka,4,1.8053800324968407e-07
Tunisia,2,1.6309294683349334e-07
Morocco,6,1.6182720608781004e-07
Colombia,8,1.5528986581053294e-07
Bangladesh,26,1.5352252926288502e-07
South Africa,6,1.0102327315236642e-07
Egypt,8,7.32183830346124e-08
China,12,8.496417344019938e-09
Réunion,2,
