Country Name,num,res
Finland,602,0.00010864431565541127
Sweden,718,6.893366248677132e-05
Norway,292,5.39908881131294e-05
Hungary,310,3.192620802849383e-05
Macedonia,62,3.0022875494166846e-05
Iceland,10,2.6844196284763233e-05
Croatia,72,1.8466273403436778e-05
Ireland,90,1.788139272207448e-05
Denmark,102,1.7415852831262755e-05
Netherlands,300,1.7110548516275895e-05
Israel,154,1.644596326356258e-05
Poland,594,1.5736298214401713e-05
Australia,404,1.572713942525636e-05
Estonia,20,1.502706374179898e-05
Moldova,34,1.3000922683130423e-05
Lithuania,34,1.2139219712379041e-05
United Kingdom,816,1.2120029464148099e-05
New Zealand,62,1.2103228829110217e-05
Slovenia,24,1.1384772582052191e-05
Paraguay,72,1.0740178815027122e-05
Germany,882,1.0601461285230297e-05
Belgium,112,9.661042329856969e-06
Luxembourg,6,9.374062593740626e-06
Albania,26,9.247186543494142e-06
Singapore,50,9.16831299006925e-06
Canada,312,8.157692803670376e-06
Bulgaria,54,7.851412883557877e-06
Malta,4,7.714025641421232e-06
Georgia,26,7.010712908609964e-06
Romania,134,7.008412186687364e-06
France,468,6.9077865987523e-06
United States,2056,6.194753685400127e-06
Czech Republic,62,5.9015177561439556e-06
Libya,38,5.641935736273356e-06
Portugal,58,5.617353438164125e-06
Saudi Arabia,194,5.396324424354046e-06
Serbia,36,5.267527478203411e-06
Austria,44,4.9130189083115665e-06
Puerto Rico,16,4.902585623657917e-06
Italy,286,4.838463988665949e-06
Tunisia,52,4.240416617670827e-06
Spain,194,4.091467497614189e-06
Greece,42,3.9469154902430836e-06
Japan,482,3.835088245579446e-06
Malaysia,114,3.395497344155161e-06
Russian Federation,472,3.2903614452288036e-06
Argentina,142,3.0998446650374436e-06
Slovakia,16,2.93726353881144e-06
Switzerland,24,2.7575414449861863e-06
Philippines,294,2.5816574746781552e-06
Thailand,170,2.374265100357462e-06
South Korea,114,2.2031166912062947e-06
Armenia,6,2.1497871352438254e-06
Latvia,4,2.122590196817176e-06
Turkey,176,2.0760738574598832e-06
Panama,8,1.8385449571354734e-06
Bosnia and Herzegovina,6,1.8343334017132063e-06
Brazil,356,1.661019333131252e-06
Mexico,208,1.64160667265127e-06
Chile,32,1.641599443169469e-06
Taiwan,38,1.6122189223589309e-06
Indonesia,416,1.5196169895970273e-06
Iraq,60,1.3782460220603895e-06
Bahrain,2,1.3668064226233798e-06
Ukraine,40,9.133910086474152e-07
Bangladesh,124,7.321843703306824e-07
Nepal,20,6.658900391140479e-07
Belarus,6,6.423766909763419e-07
Kazakhstan,12,6.315461069708585e-07
Cambodia,10,6.028082545910028e-07
Kyrgyzstan,4,5.977464957111689e-07
Ethiopia,62,5.154509498289476e-07
Bolivia,6,4.967104522449326e-07
United Arab Emirates,4,4.27115650638618e-07
Colombia,20,3.8822466452633235e-07
Lebanon,2,3.576134381116866e-07
Peru,10,2.9659974199974844e-07
Uzbekistan,8,2.2912722575619145e-07
Algeria,10,2.2635716911295764e-07
Vietnam,22,2.2571503933869435e-07
Morocco,6,1.6182720608781004e-07
India,188,1.335641015990236e-07
Egypt,14,1.281321703105717e-07
Ecuador,2,1.1237383719064957e-07
South Africa,6,1.0102327315236642e-07
Sudan,4,8.7609398403345e-08
Uganda,2,4.361690764063105e-08
Pakistan,8,3.457185311748898e-08
China,8,5.664278229346626e-09
Unknown,4,
Réunion,12,
