Country Name,num,res
Finland,646,0.00011658509620165395
Faroe Islands,4,7.563009321408988e-05
Malta,34,6.556921795208048e-05
Norway,300,5.547009052718774e-05
Sweden,524,5.0308132511237e-05
Iceland,14,3.758187479866853e-05
Hungary,298,3.069035481448762e-05
Australia,632,2.4602851774163415e-05
Poland,764,2.023995258552678e-05
Croatia,76,1.949217748140549e-05
Aruba,2,1.8772820710175807e-05
Bulgaria,128,1.861075646472978e-05
Netherlands,318,1.813718142725245e-05
Lithuania,44,1.570957845131405e-05
Latvia,28,1.4858131377720232e-05
United Kingdom,914,1.357562123802863e-05
Canada,516,1.34915688676087e-05
Macedonia,26,1.2590238110457065e-05
Guam,2,1.1727866583789743e-05
Saint Lucia,2,1.1132696172022422e-05
Italy,612,1.0353636227494968e-05
Austria,90,1.0049356857910021e-05
Belize,4,9.999225060057845e-06
Ireland,50,9.934107067819156e-06
France,650,9.59414805382264e-06
Denmark,56,9.561644691673668e-06
Israel,88,9.397693293464332e-06
Moldova,24,9.177121893974417e-06
Portugal,94,9.10398660667979e-06
Germany,756,9.086966815911683e-06
Slovenia,18,8.538579436539143e-06
Singapore,46,8.43484795086371e-06
Serbia,56,8.19393163276086e-06
United States,2292,6.9058246337242664e-06
Montenegro,4,6.4598335623882655e-06
Romania,120,6.276190017928983e-06
New Zealand,32,6.246827782766564e-06
Bosnia and Herzegovina,18,5.5030002051396184e-06
Belgium,60,5.175558390994805e-06
Russian Federation,630,4.391795996809632e-06
Greece,42,3.9469154902430836e-06
Switzerland,30,3.446926806232733e-06
Argentina,144,3.1435044490520557e-06
Malaysia,94,2.7997960557068867e-06
Bahrain,4,2.7336128452467596e-06
Spain,126,2.6573448695844735e-06
Hong Kong,16,2.1583413146996533e-06
Paraguay,14,2.08836810292194e-06
Mexico,260,2.052008340814088e-06
Japan,238,1.8936742789375687e-06
Puerto Rico,6,1.838469608871719e-06
Cyprus,2,1.6074741116294322e-06
Azerbaijan,16,1.5782594757219305e-06
Qatar,4,1.4879651518561435e-06
South Korea,76,1.4687444608041963e-06
Armenia,4,1.4331914234958836e-06
Turkey,114,1.3447296576728789e-06
Iraq,58,1.33230448799171e-06
Trinidad and Tobago,2,1.3109054883024626e-06
Indonesia,338,1.2346888040475847e-06
Chile,24,1.2311995823771017e-06
Uruguay,4,1.1674537250529732e-06
Colombia,58,1.1258515271263637e-06
Czech Republic,10,9.518577026038639e-07
Vietnam,84,8.618210592931965e-07
Brazil,180,8.398412358528802e-07
Philippines,94,8.254279000671652e-07
Tunisia,10,8.154647341674668e-07
Saudi Arabia,28,7.788509478449139e-07
Costa Rica,4,7.761027109849772e-07
United Arab Emirates,6,6.40673475957927e-07
Algeria,24,5.432572058710984e-07
Georgia,2,5.392856083546126e-07
Bolivia,6,4.967104522449326e-07
Morocco,18,4.854816182634301e-07
Ecuador,8,4.494953487625983e-07
Belarus,4,4.282511273175613e-07
Taiwan,10,4.2426813746287655e-07
Thailand,26,3.6312289770172954e-07
Lebanon,2,3.576134381116866e-07
El Salvador,2,3.1674803659770165e-07
India,402,2.855998342702526e-07
Ukraine,12,2.7401730259422455e-07
Pakistan,24,1.0371555935246694e-07
Sudan,4,8.7609398403345e-08
Nepal,2,6.658900391140479e-08
Bangladesh,6,3.54282759837427e-08
Heard Island and McDonald Islands,2,
Réunion,18,
Unknown,6,
