Country Name,num,res
Faroe Islands,6,0.00011344513982113484
Finland,254,4.583996042603732e-05
Norway,202,3.7349860954973077e-05
Greenland,2,3.5302631811201524e-05
Sweden,362,3.475485490280114e-05
Estonia,32,2.4043301986878368e-05
Slovenia,26,1.233350363055654e-05
Uruguay,42,1.2258264113056219e-05
Trinidad and Tobago,18,1.1798149394722163e-05
Macedonia,24,1.1621758255806521e-05
Hungary,108,1.1122678926055916e-05
Israel,104,1.1106364801366937e-05
Iceland,4,1.0737678513905294e-05
Ireland,46,9.139378502393622e-06
Lithuania,22,7.854789225657026e-06
Croatia,30,7.694280584765325e-06
Netherlands,126,7.186430376835876e-06
Poland,246,6.517052795863336e-06
Denmark,36,6.146771587504501e-06
United Kingdom,348,5.1688360950043365e-06
Bulgaria,34,4.943482185943848e-06
Albania,12,4.26793225084345e-06
Canada,162,4.23572510959808e-06
Germany,336,4.03865191818297e-06
Portugal,38,3.6803350112109783e-06
Italy,196,3.315870425799042e-06
Latvia,6,3.183885295225764e-06
Spain,144,3.0369655652393984e-06
Paraguay,20,2.9833830041742002e-06
Greece,22,2.067431923460663e-06
Austria,18,2.0098713715820044e-06
Belgium,22,1.8977047433647616e-06
Saudi Arabia,68,1.8914951590519336e-06
Romania,36,1.8828570053786949e-06
Puerto Rico,6,1.838469608871719e-06
Serbia,12,1.75584249273447e-06
France,106,1.5645841441618459e-06
Brazil,328,1.5303773631096928e-06
Moldova,4,1.5295203156624027e-06
United States,482,1.4522720215772672e-06
Lebanon,8,1.4304537524467464e-06
Czech Republic,12,1.1422292431246366e-06
Turkey,86,1.0144451803497155e-06
Argentina,40,8.731956802922377e-07
Slovakia,4,7.3431588470286e-07
Singapore,4,7.3346503920554e-07
Chile,14,7.181997563866426e-07
Russian Federation,102,7.1105268519775e-07
Mexico,88,6.945258999678451e-07
United Arab Emirates,6,6.40673475957927e-07
Bosnia and Herzegovina,2,6.114444672377354e-07
Algeria,26,5.885286396936899e-07
Australia,14,5.449998810732403e-07
Georgia,2,5.392856083546126e-07
Malaysia,16,4.76561030758619e-07
Nepal,10,3.3294501955702396e-07
Colombia,16,3.105797316210659e-07
Iraq,12,2.756492044120779e-07
Switzerland,2,2.2979512041551555e-07
Thailand,14,1.9552771414708512e-07
Japan,24,1.9095875081723383e-07
Jordan,2,1.7939990373401164e-07
Peru,6,1.7795984519984907e-07
Egypt,18,1.647413618278779e-07
Ukraine,6,1.3700865129711228e-07
South Korea,6,1.1595351006348919e-07
Iran,10,1.137353237075641e-07
Indonesia,30,1.0958776367286254e-07
Morocco,4,1.0788480405854002e-07
Kazakhstan,2,1.052576844951431e-07
South Africa,6,1.0102327315236642e-07
Sri Lanka,2,9.026900162484203e-08
Vietnam,8,8.207819612316158e-08
Ethiopia,8,6.650979997792872e-08
Uzbekistan,2,5.728180643904786e-08
India,64,4.5468630331582505e-08
Philippines,4,3.5124591492219796e-08
Pakistan,2,8.642963279372245e-09
China,4,2.832139114673313e-09
Palestine,10,
