Country Name,num,res
Greenland,26,0.0004589342135456198
Faroe Islands,8,0.00015126018642817976
Finland,814,0.00014690444010548965
Sweden,932,8.947935019174216e-05
Norway,284,5.251168569907106e-05
Macedonia,102,4.9392472587177715e-05
Israel,412,4.39982913284921e-05
Estonia,58,4.3578484851217045e-05
Malta,20,3.857012820710616e-05
Slovenia,80,3.794924194017397e-05
Australia,546,2.125499536185637e-05
Denmark,112,1.9123289383347336e-05
Armenia,46,1.648170137020266e-05
Hungary,146,1.5036214103742256e-05
Poland,564,1.4941535678320818e-05
Netherlands,240,1.3688438813020717e-05
Lithuania,38,1.3567363207953045e-05
Croatia,52,1.333675301359323e-05
Germany,1102,1.32458167078501e-05
United Kingdom,860,1.2773560464665888e-05
Bulgaria,78,1.134092972069471e-05
Greece,112,1.0525107973981557e-05
Belgium,118,1.0178598168956448e-05
Canada,344,8.994379245072465e-06
New Zealand,46,8.979814937726935e-06
Italy,504,8.526523952054679e-06
Ireland,42,8.34464993696809e-06
Cyprus,8,6.429896446517729e-06
France,418,6.169775209996713e-06
Austria,50,5.582976032172234e-06
Kyrgyzstan,36,5.37971846140052e-06
Lebanon,30,5.364201571675299e-06
United States,1758,5.296875962516256e-06
Switzerland,40,4.595902408310311e-06
Russian Federation,630,4.391795996809632e-06
Serbia,28,4.09696581638043e-06
Singapore,20,3.6673251960277e-06
Costa Rica,18,3.4924621994323974e-06
Saudi Arabia,116,3.2266682125003574e-06
Latvia,6,3.183885295225764e-06
Moldova,8,3.0590406313248053e-06
Argentina,138,3.01252509700822e-06
Qatar,8,2.975930303712287e-06
Portugal,30,2.90552764042972e-06
Turkey,232,2.7366428121062095e-06
Japan,340,2.7052489699108124e-06
Romania,50,2.615079174137076e-06
Malaysia,84,2.50194541148275e-06
Mexico,316,2.4939793680663526e-06
Spain,116,2.446444483109515e-06
Czech Republic,24,2.284458486249273e-06
South Korea,118,2.2804190312486206e-06
Ukraine,98,2.237807971186167e-06
Kazakhstan,38,1.999896005407719e-06
Bosnia and Herzegovina,6,1.8343334017132063e-06
Jordan,20,1.7939990373401167e-06
Bolivia,18,1.4901313567347977e-06
Nepal,44,1.4649580860509056e-06
Chile,28,1.4363995127732852e-06
Bahrain,2,1.3668064226233798e-06
Hong Kong,8,1.0791706573498267e-06
Brazil,220,1.0264726215979647e-06
Peru,34,1.0084391227991447e-06
Indonesia,268,9.789840221442386e-07
Philippines,86,7.551787170827257e-07
Thailand,54,7.541783259958998e-07
Sri Lanka,16,7.221520129987363e-07
Puerto Rico,2,6.128232029572396e-07
Mongolia,2,5.974104646001442e-07
Dominican Republic,6,5.396715720713845e-07
Georgia,2,5.392856083546126e-07
Colombia,26,5.04692063884232e-07
Egypt,50,4.576148939663275e-07
Belarus,4,4.282511273175613e-07
Vietnam,32,3.283127844926463e-07
South Africa,18,3.0306981945709927e-07
Venezuela,8,2.8368928122958876e-07
Nigeria,52,2.4367234124410746e-07
India,312,2.216595728664647e-07
United Arab Emirates,2,2.13557825319309e-07
Bangladesh,34,2.0076023057454194e-07
Iraq,8,1.8376613627471862e-07
Pakistan,42,1.8150222886681716e-07
Morocco,4,1.0788480405854002e-07
Ethiopia,12,9.976469996689309e-08
China,2,1.4160695573366564e-09
Réunion,2,
