Country Name,num,res
Finland,864,0.0001559280543625836
Sweden,696,6.682148898439113e-05
Norway,304,5.620969173421691e-05
Faroe Islands,2,3.781504660704494e-05
Macedonia,78,3.7770714331371194e-05
Lithuania,94,3.3561372145989114e-05
Croatia,126,3.231597845601436e-05
Latvia,52,2.7593672558623287e-05
Slovenia,54,2.561573830961743e-05
Denmark,128,2.185518786668267e-05
Poland,742,1.9657126725734126e-05
Moldova,42,1.605996331445523e-05
Australia,408,1.5882853676991572e-05
Israel,148,1.5805211448099104e-05
Hungary,152,1.5654140710745362e-05
Georgia,58,1.5639282642283768e-05
United Kingdom,884,1.3130031919493774e-05
Montenegro,8,1.2919667124776531e-05
Romania,238,1.2447776868892483e-05
Serbia,80,1.1705616618229801e-05
Bulgaria,72,1.0468550511410502e-05
Greece,108,1.0149211260625073e-05
Germany,824,9.904313037448712e-06
Uruguay,32,9.339629800423786e-06
Puerto Rico,30,9.192348044358595e-06
Singapore,50,9.16831299006925e-06
Ireland,44,8.742014219680856e-06
Netherlands,138,7.870852317486912e-06
Canada,298,7.791642485556961e-06
Malta,4,7.714025641421232e-06
Italy,416,7.037765801695925e-06
United States,2244,6.7612000340651195e-06
Cyprus,8,6.429896446517729e-06
Belgium,70,6.038151456160605e-06
France,406,5.992652476695372e-06
Portugal,56,5.42365159546881e-06
Chile,100,5.12999825990459e-06
New Zealand,24,4.685120837074923e-06
Austria,40,4.466380825737787e-06
Russian Federation,534,3.7225699401529262e-06
Malaysia,122,3.6337778595344703e-06
Switzerland,30,3.446926806232733e-06
Spain,158,3.33222610630434e-06
Argentina,142,3.0998446650374436e-06
Estonia,4,3.005412748359796e-06
Slovakia,16,2.93726353881144e-06
Brazil,526,2.454202722547861e-06
Japan,300,2.386984385215423e-06
Paraguay,14,2.08836810292194e-06
South Korea,104,2.009860841100479e-06
Mexico,226,1.7836687885537838e-06
Czech Republic,18,1.713343864686955e-06
Kazakhstan,32,1.6841229519222895e-06
Ukraine,68,1.5527647147006058e-06
Saudi Arabia,52,1.4464374745691257e-06
Albania,4,1.4226440836144833e-06
Belarus,12,1.2847533819526837e-06
Bosnia and Herzegovina,4,1.2228889344754708e-06
Philippines,138,1.211798406481583e-06
Vietnam,106,1.0875360986318909e-06
Turkey,90,1.0616286771101675e-06
Indonesia,270,9.86289873055763e-07
Kuwait,4,9.411512255906548e-07
United Arab Emirates,8,8.54231301277236e-07
Colombia,40,7.764493290526647e-07
Jordan,8,7.175996149360466e-07
Algeria,22,4.979857720485068e-07
Bolivia,6,4.967104522449326e-07
Peru,12,3.5591969039969813e-07
El Salvador,2,3.1674803659770165e-07
Pakistan,62,2.679318616605396e-07
India,374,2.6570730850018523e-07
Taiwan,6,2.5456088247772594e-07
Egypt,22,2.013505533451841e-07
Thailand,14,1.9552771414708512e-07
Venezuela,4,1.4184464061479438e-07
Uganda,6,1.3085072292189315e-07
Cambodia,2,1.2056165091820054e-07
Guatemala,2,1.1689244247109221e-07
Ecuador,2,1.1237383719064957e-07
Iraq,4,9.188306813735931e-08
South Africa,4,6.734884876824428e-08
China,82,5.805885185080291e-08
Nigeria,12,5.6232078748640186e-08
Ethiopia,6,4.988234998344654e-08
