Country Name,num,res
Greenland,32,0.0005648421089792244
Faroe Islands,22,0.0004159655126774944
Finland,614,0.00011080998307711382
Sweden,896,8.602306627875641e-05
Estonia,112,8.415155695407429e-05
Malta,34,6.556921795208048e-05
Macedonia,86,4.164463374997337e-05
Norway,224,4.141766759363351e-05
Luxembourg,26,4.0620937906209377e-05
Hungary,282,2.9042550529146e-05
Poland,848,2.2465287686553286e-05
Bulgaria,130,1.8901549534491186e-05
Cyprus,22,1.7682215227923755e-05
Australia,416,1.6194282180461995e-05
Slovenia,34,1.6128427824573937e-05
Moldova,42,1.605996331445523e-05
Netherlands,256,1.460100140055543e-05
Lithuania,40,1.4281434955740048e-05
New Zealand,66,1.2884082301956038e-05
Latvia,24,1.2735541180903057e-05
Canada,484,1.2654882426206608e-05
Belgium,138,1.190378429928805e-05
United Kingdom,770,1.143679250906132e-05
Israel,104,1.1106364801366937e-05
Germany,882,1.0601461285230297e-05
Denmark,62,1.058610662292442e-05
Ireland,50,9.934107067819156e-06
Greece,100,9.397417833912104e-06
Croatia,32,8.20723262374968e-06
Georgia,26,7.010712908609964e-06
Italy,408,6.902424151663312e-06
Singapore,36,6.60118535284986e-06
United States,2116,6.375534434974061e-06
Austria,56,6.2529331560329024e-06
Spain,266,5.609950280233888e-06
Japan,700,5.56963023216932e-06
France,356,5.254641087939784e-06
Romania,98,5.1255551813086694e-06
Portugal,46,4.455142381992237e-06
Argentina,202,4.4096381854758004e-06
Albania,12,4.26793225084345e-06
Paraguay,22,3.2817213045916204e-06
Costa Rica,16,3.1044108439399088e-06
Switzerland,24,2.7575414449861863e-06
Slovakia,14,2.57010559646001e-06
Mexico,304,2.39927129079801e-06
Russian Federation,284,1.979793750942755e-06
Puerto Rico,6,1.838469608871719e-06
Turkey,152,1.7929728768971717e-06
Serbia,12,1.75584249273447e-06
South Korea,86,1.6620003109100117e-06
Ukraine,72,1.6441038155653473e-06
Czech Republic,16,1.5229723241661822e-06
Indonesia,380,1.3881116731895922e-06
Bahrain,2,1.3668064226233798e-06
Chile,26,1.3337995475751934e-06
United Arab Emirates,12,1.281346951915854e-06
Saudi Arabia,46,1.2795408428880729e-06
Brazil,270,1.2597618537793203e-06
Philippines,134,1.1766738149893633e-06
Malaysia,36,1.0722623192068928e-06
Morocco,38,1.0249056385561301e-06
Qatar,2,7.439825759280718e-07
Nepal,22,7.324790430254528e-07
Taiwan,16,6.788290199406024e-07
Iraq,28,6.431814769615151e-07
Uruguay,2,5.837268625264866e-07
Vietnam,50,5.129887257697598e-07
Algeria,22,4.979857720485068e-07
Egypt,32,2.928735321384496e-07
Colombia,14,2.7175726516843263e-07
Hong Kong,2,2.6979266433745667e-07
Ethiopia,26,2.1615684992826836e-07
Belarus,2,2.1412556365878064e-07
Thailand,10,1.3966265296220368e-07
India,190,1.3498499629688555e-07
Nigeria,26,1.2183617062205373e-07
Kazakhstan,2,1.052576844951431e-07
Pakistan,20,8.642963279372246e-08
Peru,2,5.931994839994968e-08
Bangladesh,6,3.54282759837427e-08
Fiji Islands,20,
Réunion,8,
Palestine,4,
