Country Name,num,res
Greenland,12,0.00021181579086720914
Finland,760,0.00013715893670782818
Sweden,1200,0.00011520946376619162
Norway,418,7.728832613454825e-05
Hungary,674,6.941375552001562e-05
Macedonia,136,6.585663011623695e-05
Faroe Islands,2,3.781504660704494e-05
Netherlands,578,3.296632347469156e-05
Poland,984,2.6068211183453342e-05
Austria,222,2.478841358284472e-05
Estonia,30,2.254059561269847e-05
Slovenia,46,2.1820814115600032e-05
Malta,10,1.928506410355308e-05
Israel,180,1.9222554463904314e-05
Serbia,124,1.814370575825619e-05
Croatia,68,1.7440369325468068e-05
Bulgaria,116,1.6865998046161363e-05
Australia,400,1.557142517352115e-05
United Kingdom,1044,1.550650828501301e-05
Lithuania,42,1.499550670352705e-05
Switzerland,124,1.4247297465761964e-05
Belgium,162,1.3974007655685971e-05
Denmark,78,1.3318005106259752e-05
Georgia,48,1.2942854600510703e-05
Ireland,58,1.152356419867022e-05
Germany,874,1.050530290622594e-05
Bosnia and Herzegovina,34,1.0394555943041502e-05
Italy,606,1.0252129989970507e-05
Latvia,18,9.551655885677291e-06
Portugal,88,8.522881078593845e-06
Romania,142,7.426824854549296e-06
Greece,76,7.142037553773199e-06
New Zealand,34,6.637254519189474e-06
Luxembourg,4,6.249375062493751e-06
France,376,5.549845643442019e-06
Iceland,2,5.368839256952647e-06
Hong Kong,38,5.126060622411676e-06
Spain,212,4.471088193269114e-06
Canada,160,4.183432207010449e-06
Argentina,190,4.147679481388129e-06
United States,1134,3.4167561669473463e-06
South Korea,170,3.28534945179886e-06
Turkey,206,2.4299500831632723e-06
Lebanon,12,2.1456806286701196e-06
Albania,6,2.133966125421725e-06
Saudi Arabia,74,2.0583917907329865e-06
Brazil,402,1.8756454267380991e-06
Tunisia,22,1.794022415168427e-06
Jordan,20,1.7939990373401167e-06
Belarus,16,1.7130045092702451e-06
Namibia,4,1.5809333118853381e-06
Moldova,4,1.5295203156624027e-06
Japan,178,1.4162774018944843e-06
Ukraine,60,1.3700865129711229e-06
Malaysia,44,1.3105428345862024e-06
Costa Rica,6,1.1641540664774657e-06
Russian Federation,166,1.1572033896355538e-06
United Arab Emirates,10,1.0677891265965449e-06
Chile,18,9.233996867828262e-07
Morocco,32,8.630784324683201e-07
Philippines,98,8.60552491559385e-07
Peru,28,8.304792775992955e-07
Czech Republic,8,7.614861620830911e-07
Singapore,4,7.3346503920554e-07
Guatemala,12,7.013546548265533e-07
Kazakhstan,12,6.315461069708585e-07
Indonesia,140,5.114095638066919e-07
Iraq,22,5.053568747554762e-07
Taiwan,10,4.2426813746287655e-07
Thailand,26,3.6312289770172954e-07
Mexico,44,3.4726294998392253e-07
Kyrgyzstan,2,2.9887324785558443e-07
Vietnam,28,2.8727368643106553e-07
Egypt,22,2.013505533451841e-07
Uzbekistan,6,1.718454193171436e-07
India,234,1.662446796498485e-07
Pakistan,36,1.555733390287004e-07
Colombia,8,1.5528986581053294e-07
Algeria,6,1.358143014677746e-07
Nepal,4,1.3317800782280958e-07
China,104,7.363561698150613e-08
Venezuela,2,7.092232030739719e-08
South Africa,4,6.734884876824428e-08
Bangladesh,4,2.3618850655828464e-08
