Country Name,num,res
Faroe Islands,18,0.0003403354194634045
Finland,598,0.00010792242651484375
Sweden,794,7.623026185863011e-05
Norway,208,3.8459262765516837e-05
Croatia,112,2.8725314183123877e-05
Estonia,36,2.7048714735238163e-05
Lithuania,68,2.4278439424758083e-05
Malta,12,2.3142076924263698e-05
Israel,196,2.093122597180692e-05
Hungary,176,1.8125847138757787e-05
Netherlands,308,1.7566829810043254e-05
Canada,624,1.6315385607340752e-05
Poland,608,1.610718739790613e-05
New Zealand,76,1.4836215984070589e-05
Australia,350,1.3624997026831006e-05
Singapore,74,1.356910322530249e-05
Bosnia and Herzegovina,42,1.2840333811992444e-05
Qatar,34,1.264770379077722e-05
United Kingdom,710,1.0545613871991605e-05
Belgium,120,1.035111678198961e-05
Germany,808,9.71199627944e-06
Georgia,36,9.707140950383027e-06
Montenegro,6,9.689750343582398e-06
Italy,534,9.034055139676982e-06
Puerto Rico,28,8.579524841401354e-06
Romania,162,8.472856524204127e-06
France,572,8.442850287363923e-06
Austria,74,8.262804527614906e-06
Greece,84,7.893830980486167e-06
Denmark,46,7.854208139589085e-06
Serbia,48,7.02336997093788e-06
Ireland,30,5.960464240691493e-06
Slovenia,12,5.692386291026096e-06
United States,1882,5.670489511635719e-06
Kyrgyzstan,34,5.080845213544935e-06
Argentina,216,4.715256673578083e-06
Bulgaria,30,4.361896046421042e-06
Portugal,44,4.2614405392969225e-06
Japan,432,3.437257514710209e-06
Czech Republic,36,3.42668772937391e-06
Cyprus,4,3.2149482232588643e-06
Moldova,8,3.0590406313248053e-06
Brazil,596,2.780807647601759e-06
Mexico,348,2.7465342407819325e-06
Spain,126,2.6573448695844735e-06
Russian Federation,376,2.6211353885720977e-06
Chile,50,2.564999129952295e-06
Turkey,204,2.406358334783046e-06
Thailand,172,2.402197630949903e-06
South Korea,114,2.2031166912062947e-06
Malaysia,72,2.1445246384137855e-06
Bolivia,24,1.98684180897973e-06
Philippines,224,1.9669771235643087e-06
Macedonia,4,1.936959709301087e-06
Tunisia,22,1.794022415168427e-06
Jordan,20,1.7939990373401167e-06
Indonesia,406,1.4830877350394064e-06
Saudi Arabia,50,1.3908052640087748e-06
Hong Kong,10,1.3489633216872833e-06
Iraq,56,1.2863629539230303e-06
Libya,8,1.1877759444786012e-06
Uruguay,4,1.1674537250529732e-06
Switzerland,10,1.1489756020775778e-06
Latvia,2,1.061295098408588e-06
Costa Rica,4,7.761027109849772e-07
Taiwan,18,7.636826474331778e-07
Slovakia,4,7.3431588470286e-07
Peru,24,7.118393807993963e-07
Guatemala,12,7.013546548265533e-07
Colombia,34,6.599819296947649e-07
Cambodia,10,6.028082545910028e-07
Mongolia,2,5.974104646001442e-07
Paraguay,4,5.966766008348401e-07
Ukraine,18,4.110259538913368e-07
Honduras,4,3.891677113387418e-07
Nepal,10,3.3294501955702396e-07
Vietnam,26,2.667541374002751e-07
United Arab Emirates,2,2.13557825319309e-07
India,276,1.9608346830494954e-07
Bangladesh,20,1.1809425327914232e-07
Kazakhstan,2,1.052576844951431e-07
South Africa,6,1.0102327315236642e-07
Egypt,8,7.32183830346124e-08
Morocco,2,5.394240202927001e-08
Pakistan,12,5.185777967623347e-08
Kenya,2,3.773185232794398e-08
Nigeria,8,3.748805249909346e-08
China,46,3.2569599818743093e-08
Ethiopia,2,1.662744999448218e-08
Fiji Islands,6,
Réunion,64,
