Country Name,num,res
Monaco,4,0.00010903341874284468
Finland,430,7.760308261100805e-05
Estonia,74,5.5600135844656226e-05
Australia,1368,5.3254274093442335e-05
New Zealand,268,5.231718268066997e-05
Lithuania,110,3.9273946128285135e-05
Canada,1462,3.822611179155798e-05
Norway,204,3.771966155848766e-05
Slovakia,202,3.708295217749443e-05
Sweden,362,3.475485490280114e-05
Moldova,76,2.906088599758565e-05
Netherlands,502,2.8631651183901666e-05
United States,9432,2.841873383302237e-05
Slovenia,56,2.6564469358121777e-05
Latvia,50,2.65323774602147e-05
Ireland,128,2.543131409361704e-05
Austria,222,2.478841358284472e-05
United Kingdom,1546,2.2962702881829608e-05
Greece,232,2.1802009374676083e-05
Bulgaria,134,1.9483135674013988e-05
Croatia,72,1.8466273403436778e-05
Macedonia,38,1.8401117238360325e-05
Serbia,118,1.7265784511888955e-05
Iceland,6,1.610651777085794e-05
Denmark,90,1.536692896876125e-05
Bahamas,6,1.470927125367119e-05
Romania,274,1.4330633874271177e-05
Germany,1130,1.3582371034365346e-05
Switzerland,112,1.286852674326887e-05
Poland,482,1.2769184746366372e-05
Hungary,120,1.2358532140062129e-05
Costa Rica,56,1.086543795378968e-05
Albania,28,9.958508585301384e-06
Czech Republic,102,9.70894856655941e-06
Luxembourg,6,9.374062593740626e-06
Israel,80,8.543357539513029e-06
Belgium,96,8.280893425591687e-06
Cyprus,10,8.037370558147161e-06
Portugal,72,6.9732663370313275e-06
Russian Federation,694,4.837946701247436e-06
Puerto Rico,14,4.289762420700677e-06
Uruguay,14,4.086088037685407e-06
Bosnia and Herzegovina,12,3.6686668034264126e-06
Paraguay,24,3.5800596050090405e-06
Ukraine,152,3.4708858328601776e-06
France,232,3.4243728438259266e-06
Montenegro,2,3.2299167811941327e-06
Italy,178,3.0113517132256603e-06
Argentina,132,2.881545744964384e-06
Bhutan,2,2.57239358650831e-06
Hong Kong,18,2.42813397903711e-06
Botswana,6,2.318013709505749e-06
Panama,10,2.2981811964193417e-06
Spain,108,2.277724173929549e-06
Kosovo,4,2.23959400639852e-06
Taiwan,52,2.206194314806958e-06
Singapore,12,2.20039511761662e-06
Georgia,6,1.6178568250638379e-06
Belarus,14,1.4988789456114645e-06
South Africa,82,1.3806513997490077e-06
Cambodia,22,1.326178160100206e-06
Trinidad and Tobago,2,1.3109054883024626e-06
Brazil,230,1.0731304680342357e-06
Lebanon,6,1.0728403143350598e-06
Chile,20,1.025999651980918e-06
Tunisia,12,9.7855768100096e-07
Thailand,64,8.938409789581034e-07
Kazakhstan,16,8.420614759611448e-07
Japan,100,7.956614617384743e-07
Mexico,90,7.103105795125688e-07
Venezuela,20,7.092232030739719e-07
Nepal,20,6.658900391140479e-07
South Korea,34,6.57069890359772e-07
Nicaragua,4,5.838955761151675e-07
Saudi Arabia,20,5.563221056035099e-07
Philippines,60,5.26868872383297e-07
Algeria,22,4.979857720485068e-07
Kenya,22,4.1505037560738375e-07
Turkey,30,3.5387622570338914e-07
Peru,10,2.9659974199974844e-07
Vietnam,26,2.667541374002751e-07
Malaysia,8,2.382805153793095e-07
United Arab Emirates,2,2.13557825319309e-07
Bolivia,2,1.6557015074831084e-07
Morocco,6,1.6182720608781004e-07
Colombia,8,1.5528986581053294e-07
Bangladesh,20,1.1809425327914232e-07
Iraq,4,9.188306813735931e-08
Egypt,10,9.15229787932655e-08
Pakistan,16,6.914370623497796e-08
India,44,3.125968335296297e-08
Indonesia,6,2.1917552734572506e-08
Federated States of Micronesia,4,
U.S. Virgin Islands,2,
Palestine,2,
Aland,2,
