Country Name,num,res
Monaco,14,0.00038161696559995637
Estonia,134,0.00010068132707005316
Montenegro,32,5.1678668499106124e-05
Australia,1312,5.107427456914937e-05
Latvia,74,3.9267918641117754e-05
New Zealand,172,3.357669933237028e-05
Finland,170,3.068028847411946e-05
Canada,1134,2.965007576718656e-05
Slovenia,58,2.7513200406626128e-05
Macedonia,56,2.7117435930215216e-05
Norway,144,2.6625643453050116e-05
Lithuania,72,2.5706582920332085e-05
United States,8358,2.518275841564896e-05
Croatia,80,2.05180815593742e-05
Netherlands,330,1.8821603367903486e-05
Aruba,2,1.8772820710175807e-05
United Kingdom,996,1.4793565375357237e-05
Sweden,136,1.3057072560168383e-05
Slovakia,70,1.285052798230005e-05
Ireland,50,9.934107067819156e-06
Bulgaria,68,9.886964371887696e-06
Georgia,34,9.167855342028415e-06
Hungary,82,8.444996962375787e-06
Denmark,46,7.854208139589085e-06
Serbia,52,7.60865080184937e-06
Switzerland,64,7.3534438532964974e-06
Greece,76,7.142037553773199e-06
Germany,542,6.514730177545148e-06
Czech Republic,66,6.282260837185501e-06
Luxembourg,4,6.249375062493751e-06
Poland,232,6.146163612358918e-06
Moldova,16,6.118081262649611e-06
Austria,52,5.806295073459124e-06
Romania,104,5.439364682205119e-06
Italy,256,4.330932801043646e-06
Malta,2,3.857012820710616e-06
Maldives,2,3.835407329846948e-06
Portugal,38,3.6803350112109783e-06
Puerto Rico,12,3.676939217743438e-06
Bosnia and Herzegovina,12,3.6686668034264126e-06
Tunisia,44,3.588044830336854e-06
Lebanon,20,3.576134381116866e-06
Spain,132,2.7838851014694483e-06
Russian Federation,342,2.3841178268395145e-06
Uruguay,8,2.3349074501059465e-06
Belgium,22,1.8977047433647616e-06
France,126,1.8597886996640808e-06
Israel,16,1.7086715079026056e-06
Japan,192,1.5276700065378706e-06
Ukraine,62,1.4157560634034935e-06
Belarus,12,1.2847533819526837e-06
Panama,4,9.192724785677367e-07
South Africa,54,9.092094583712978e-07
Argentina,40,8.731956802922377e-07
Thailand,54,7.541783259958998e-07
Mexico,86,6.787412204231213e-07
Brazil,130,6.065520036715247e-07
Taiwan,14,5.939753924480271e-07
Kazakhstan,10,5.262884224757155e-07
Saudi Arabia,18,5.006898950431589e-07
Nepal,14,4.6612302737983357e-07
Chile,8,4.1039986079236723e-07
Costa Rica,2,3.880513554924886e-07
Singapore,2,3.6673251960277e-07
Dominican Republic,4,3.597810480475897e-07
Peru,12,3.5591969039969813e-07
Turkey,26,3.0669272894293724e-07
Paraguay,2,2.9833830041742004e-07
Hong Kong,2,2.6979266433745667e-07
Philippines,28,2.458721404455386e-07
South Korea,12,2.3190702012697837e-07
United Arab Emirates,2,2.13557825319309e-07
Colombia,10,1.9411233226316617e-07
Morocco,6,1.6182720608781004e-07
Vietnam,14,1.4363684321553277e-07
Chad,2,1.1641619721835138e-07
India,160,1.1367157582895625e-07
Venezuela,2,7.092232030739719e-08
Malaysia,2,5.957012884482738e-08
Iraq,2,4.5941534068679654e-08
Egypt,2,1.83045957586531e-08
Pakistan,4,1.728592655874449e-08
China,12,8.496417344019938e-09
Aland,2,
