Country Name,num,res
Australia,1144,4.4534275996270486e-05
Finland,212,3.8260124450078385e-05
New Zealand,192,3.7480966696599384e-05
Canada,1342,3.5088537636300145e-05
Estonia,42,3.155683385777786e-05
United States,8130,2.4495791567268013e-05
Norway,116,2.1448435003845928e-05
United Kingdom,1420,2.109122774398321e-05
Montenegro,12,1.9379500687164796e-05
Lithuania,52,1.8565865442462062e-05
Hungary,134,1.3800360889736044e-05
Latvia,24,1.2735541180903057e-05
Croatia,48,1.2310848935624518e-05
Puerto Rico,40,1.2256464059144792e-05
Sweden,126,1.2096993695450118e-05
Bulgaria,82,1.1922515860217516e-05
Netherlands,208,1.1863313637951288e-05
Denmark,66,1.1269081243758252e-05
Macedonia,22,1.0653278401155978e-05
Singapore,54,9.90177802927479e-06
Austria,84,9.379399734049355e-06
Serbia,54,7.901291217305116e-06
Malta,4,7.714025641421232e-06
Slovenia,16,7.589848388034794e-06
Poland,286,7.576736177304528e-06
Ireland,38,7.5499213715425585e-06
Israel,60,6.407518154634771e-06
Romania,122,6.380793184894466e-06
Germany,514,6.1781758510299004e-06
Georgia,22,5.932141691900739e-06
Slovakia,32,5.87452707762288e-06
Iceland,2,5.368839256952647e-06
Portugal,54,5.229949752773496e-06
Cyprus,6,4.822422334888297e-06
Hong Kong,32,4.316682629399307e-06
Bosnia and Herzegovina,14,4.280111270664148e-06
Switzerland,32,3.6767219266482487e-06
Russian Federation,454,3.1648815596056714e-06
Luxembourg,2,3.1246875312468755e-06
Greece,32,3.0071737068518736e-06
Uruguay,8,2.3349074501059465e-06
Belgium,24,2.070223356397922e-06
Czech Republic,20,1.9037154052077278e-06
France,116,1.7121864219129633e-06
Ukraine,70,1.5984342651329767e-06
Argentina,68,1.4844326564968039e-06
Italy,84,1.4210873253424464e-06
Spain,64,1.3497624734397326e-06
Trinidad and Tobago,2,1.3109054883024626e-06
Japan,154,1.2253186510772504e-06
Chile,18,9.233996867828262e-07
Belarus,8,8.565022546351226e-07
United Arab Emirates,8,8.54231301277236e-07
Thailand,58,8.100433871807813e-07
Costa Rica,4,7.761027109849772e-07
Mexico,92,7.260952590572925e-07
South Africa,34,5.724652145300763e-07
Brazil,116,5.412310186607451e-07
Philippines,58,5.093065766371871e-07
Panama,2,4.5963623928386834e-07
Taiwan,10,4.2426813746287655e-07
Lebanon,2,3.576134381116866e-07
South Korea,18,3.4786053019046754e-07
Tunisia,4,3.261858936669867e-07
Kyrgyzstan,2,2.9887324785558443e-07
Vietnam,28,2.8727368643106553e-07
Peru,8,2.3727979359979873e-07
Saudi Arabia,8,2.2252884224140397e-07
Nepal,6,1.9976701173421438e-07
Honduras,2,1.945838556693709e-07
Sri Lanka,4,1.8053800324968407e-07
Turkey,14,1.651422386615816e-07
Egypt,18,1.647413618278779e-07
Venezuela,4,1.4184464061479438e-07
Algeria,6,1.358143014677746e-07
Kazakhstan,2,1.052576844951431e-07
Indonesia,24,8.767021093829002e-08
Pakistan,18,7.77866695143502e-08
Myanmar,4,7.43520903086437e-08
Malaysia,2,5.957012884482738e-08
Bangladesh,10,5.904712663957116e-08
India,64,4.5468630331582505e-08
Colombia,2,3.8822466452633236e-08
China,2,1.4160695573366564e-09
U.S. Virgin Islands,2,
Jersey,2,
Unknown,2,
