Country Name,num,res
Gibraltar,6,0.00018366035079127001
Faroe Islands,4,7.563009321408988e-05
Finland,326,5.8833964956252616e-05
Montenegro,36,5.8138502061494387e-05
Malta,26,5.014116666923801e-05
Ireland,246,4.8875806773670245e-05
Australia,1200,4.671427552056345e-05
Slovenia,88,4.1744166134191364e-05
Latvia,78,4.139050883793493e-05
Estonia,54,4.057307210285725e-05
Bosnia and Herzegovina,120,3.6686668034264124e-05
Serbia,210,3.072724362285323e-05
Moldova,80,3.059040631324805e-05
Cayman Islands,2,2.9353058588704944e-05
Canada,1002,2.619874419640294e-05
United Kingdom,1620,2.4061823200882256e-05
Netherlands,402,2.29281350118097e-05
Denmark,134,2.287964979793342e-05
Lithuania,64,2.2850295929184078e-05
Croatia,78,2.0005129520389845e-05
Bulgaria,136,1.9773928743775393e-05
Cyprus,24,1.9289689339553187e-05
Slovakia,100,1.83578971175715e-05
Bhutan,14,1.800675510555817e-05
United States,5902,1.7782799733089275e-05
Norway,96,1.7750428968700077e-05
Sweden,176,1.6897388019041435e-05
New Zealand,84,1.639792292976223e-05
Austria,122,1.3622461518500252e-05
Israel,116,1.2387868432293891e-05
Hungary,120,1.2358532140062129e-05
Czech Republic,112,1.0660806269163275e-05
Romania,200,1.0460316696548304e-05
Poland,392,1.0384897138123689e-05
Germany,746,8.966768842156237e-06
Portugal,78,7.554371865117272e-06
Switzerland,62,7.123648732880982e-06
Luxembourg,4,6.249375062493751e-06
Greece,66,6.202295770381989e-06
Belgium,62,5.3480770040279645e-06
Mongolia,16,4.779283716801153e-06
Uruguay,14,4.086088037685407e-06
Russian Federation,512,3.569205635502431e-06
Spain,160,3.3744061835993316e-06
Suriname,2,3.2627225788559264e-06
Chile,62,3.180598921140846e-06
France,212,3.1291682883236917e-06
Singapore,14,2.56712763721939e-06
Lebanon,12,2.1456806286701196e-06
Albania,6,2.133966125421725e-06
Italy,116,1.962453925472902e-06
Macedonia,4,1.936959709301087e-06
Turkmenistan,12,1.8921908495227343e-06
Japan,232,1.8459345912332604e-06
Nepal,54,1.7979031056079294e-06
Belarus,16,1.7130045092702451e-06
Argentina,78,1.7027315765698634e-06
Ukraine,72,1.6441038155653473e-06
Puerto Rico,4,1.2256464059144793e-06
Costa Rica,6,1.1641540664774657e-06
Georgia,4,1.0785712167092253e-06
Honduras,10,9.729192783468546e-07
Mexico,118,9.312960931387013e-07
Brazil,164,7.651886815548464e-07
Qatar,2,7.439825759280718e-07
Peru,24,7.118393807993963e-07
Morocco,26,7.012512263805101e-07
Philippines,76,6.673672383521762e-07
Panama,2,4.5963623928386834e-07
Vietnam,44,4.514300786773887e-07
Azerbaijan,4,3.945648689304826e-07
Dominican Republic,4,3.597810480475897e-07
South Korea,16,3.092093601693045e-07
Thailand,20,2.7932530592440736e-07
Turkey,22,2.595092321824854e-07
Pakistan,52,2.2471704526367838e-07
Tajikistan,2,2.0512685865446628e-07
Bangladesh,28,1.6533195459079924e-07
Egypt,18,1.647413618278779e-07
Tunisia,2,1.6309294683349334e-07
Indonesia,40,1.4611701823048338e-07
South Africa,8,1.3469769753648856e-07
India,142,1.0088352354819867e-07
Saudi Arabia,2,5.563221056035099e-08
Algeria,2,4.5271433822591525e-08
Myanmar,2,3.717604515432185e-08
Iran,2,2.274706474151282e-08
Unknown,12,
