Country Name,num,res
Gibraltar,6,0.00018366035079127001
Estonia,132,9.917862069587327e-05
Montenegro,34,5.4908585280300255e-05
Latvia,86,4.5635689231569284e-05
Australia,1072,4.1731419465036684e-05
Slovenia,80,3.794924194017397e-05
Finland,210,3.789917987979463e-05
New Zealand,194,3.7871393433022296e-05
Cyprus,40,3.2149482232588646e-05
Canada,1190,3.111427703964022e-05
Sweden,292,2.803430284977329e-05
United States,8010,2.4134230068120143e-05
Norway,128,2.3667238624933434e-05
Ireland,106,2.106030698377661e-05
Croatia,80,2.05180815593742e-05
Malta,10,1.928506410355308e-05
Aruba,2,1.8772820710175807e-05
Slovakia,100,1.83578971175715e-05
Netherlands,300,1.7110548516275895e-05
Grenada,2,1.605007623786213e-05
United Kingdom,1052,1.562533210328897e-05
Lithuania,42,1.499550670352705e-05
Hungary,144,1.4830238568074553e-05
Denmark,78,1.3318005106259752e-05
Bulgaria,80,1.1631722790456113e-05
Serbia,76,1.112033578731831e-05
Luxembourg,6,9.374062593740626e-06
Macedonia,16,7.747838837204347e-06
Germany,638,7.668630725597425e-06
Romania,144,7.5314280215147795e-06
Switzerland,64,7.3534438532964974e-06
Belgium,84,7.245781747392726e-06
Poland,258,6.834957810295693e-06
Austria,58,6.476252197319792e-06
Uruguay,20,5.837268625264866e-06
Iceland,2,5.368839256952647e-06
Paraguay,32,4.773412806678721e-06
Czech Republic,44,4.188173891457001e-06
Greece,44,4.134863846921326e-06
Singapore,22,4.03405771563047e-06
Bosnia and Herzegovina,12,3.6686668034264126e-06
Israel,34,3.630926954293037e-06
Georgia,12,3.2357136501276758e-06
Italy,154,2.6053267631278186e-06
Portugal,26,2.5181239550390904e-06
France,168,2.4797182662187744e-06
Russian Federation,336,2.3422911982984703e-06
Albania,6,2.133966125421725e-06
Ukraine,76,1.7354429164300888e-06
Belarus,16,1.7130045092702451e-06
Spain,78,1.645023014504674e-06
Hong Kong,12,1.61875598602474e-06
Moldova,4,1.5295203156624027e-06
Chile,24,1.2311995823771017e-06
Costa Rica,6,1.1641540664774657e-06
Thailand,74,1.033503631920307e-06
Argentina,46,1.0041750323360734e-06
Colombia,46,8.929167284105644e-07
Japan,90,7.160953155646268e-07
Turkey,50,5.897937095056486e-07
Mexico,62,4.893250658864363e-07
Tunisia,6,4.8927884050048e-07
Panama,2,4.5963623928386834e-07
Kazakhstan,8,4.210307379805724e-07
Malaysia,14,4.1699090191379165e-07
South Africa,24,4.040930926094657e-07
Brazil,86,4.0125747935193165e-07
Taiwan,8,3.394145099703012e-07
South Korea,16,3.092093601693045e-07
Philippines,32,2.8099673193775837e-07
Vietnam,24,2.4623458836948474e-07
Saudi Arabia,8,2.2252884224140397e-07
Dominican Republic,2,1.7989052402379485e-07
Venezuela,4,1.4184464061479438e-07
Algeria,6,1.358143014677746e-07
India,138,9.804173415247477e-08
Iraq,4,9.188306813735931e-08
Egypt,8,7.32183830346124e-08
Bangladesh,12,7.08565519674854e-08
Nepal,2,6.658900391140479e-08
Indonesia,2,7.305850911524169e-09
Unknown,34,
Palestine,4,
