Country Name,num,res
San Marino,8,0.00023707215883834643
Australia,1162,4.523499012907894e-05
New Zealand,200,3.904267364229103e-05
Canada,1430,3.738942535015589e-05
Finland,178,3.2124066755254495e-05
Estonia,32,2.4043301986878368e-05
Norway,126,2.329743802141885e-05
United States,7628,2.2983259295832767e-05
Croatia,84,2.154398563734291e-05
Sweden,218,2.0929719250858144e-05
Hungary,170,1.750792053175468e-05
Denmark,94,1.6049903589595086e-05
United Kingdom,1060,1.5744155921564932e-05
Netherlands,256,1.460100140055543e-05
Serbia,98,1.4339380357331505e-05
Macedonia,26,1.2590238110457065e-05
Latvia,22,1.1674246082494468e-05
Greece,120,1.1276901400694526e-05
Ireland,52,1.0331471350531922e-05
Bhutan,8,1.028957434603324e-05
Romania,178,9.309681859927992e-06
Bulgaria,64,9.30537823236489e-06
Slovakia,46,8.44463267408289e-06
Mongolia,28,8.36374650440202e-06
Israel,76,8.116189662537377e-06
Austria,68,7.5928474037542384e-06
Switzerland,64,7.3534438532964974e-06
Portugal,74,7.1669681797266425e-06
Lithuania,20,7.140717477870024e-06
Poland,260,6.8879419793677526e-06
Costa Rica,34,6.596873043372306e-06
Germany,540,6.490690582794059e-06
Montenegro,4,6.4598335623882655e-06
Georgia,22,5.932141691900739e-06
Iceland,2,5.368839256952647e-06
France,336,4.959436532437549e-06
Belgium,56,4.830521164928484e-06
Italy,264,4.466274451076261e-06
Tunisia,54,4.403509564504321e-06
Slovenia,8,3.794924194017397e-06
Russian Federation,456,3.1788237691193525e-06
Uruguay,10,2.918634312632433e-06
Hong Kong,20,2.6979266433745667e-06
Moldova,6,2.294280473493604e-06
Spain,100,2.1090038647495823e-06
Czech Republic,20,1.9037154052077278e-06
Panama,8,1.8385449571354734e-06
Bosnia and Herzegovina,6,1.8343334017132063e-06
Ukraine,72,1.6441038155653473e-06
Taiwan,36,1.5273652948663555e-06
Singapore,8,1.46693007841108e-06
Albania,4,1.4226440836144833e-06
Puerto Rico,4,1.2256464059144793e-06
Argentina,54,1.1788141683945208e-06
Brazil,228,1.0637988987469815e-06
Japan,86,6.842688570950879e-07
El Salvador,4,6.334960731954033e-07
Mexico,68,5.366791045206075e-07
Chile,10,5.12999825990459e-07
Ecuador,8,4.494953487625983e-07
South Africa,26,4.377675169935878e-07
Malaysia,14,4.1699090191379165e-07
Honduras,4,3.891677113387418e-07
Dominican Republic,4,3.597810480475897e-07
Jordan,4,3.587998074680233e-07
Lebanon,2,3.576134381116866e-07
Turkey,28,3.302844773231632e-07
Kazakhstan,6,3.1577305348542927e-07
Uzbekistan,10,2.864090321952393e-07
Philippines,32,2.8099673193775837e-07
Nepal,8,2.6635601564561916e-07
Cambodia,4,2.411233018364011e-07
Belarus,2,2.1412556365878064e-07
Thailand,12,1.6759518355464441e-07
India,234,1.662446796498485e-07
Vietnam,14,1.4363684321553277e-07
Colombia,6,1.164673993578997e-07
South Korea,6,1.1595351006348919e-07
Saudi Arabia,4,1.1126442112070198e-07
Zambia,2,1.0270565202041275e-07
Iraq,4,9.188306813735931e-08
Egypt,4,3.66091915173062e-08
Indonesia,4,1.4611701823048339e-08
China,6,4.248208672009969e-09
Unknown,2,
